Country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Total,,
Taiwan,29052105.75,21082764.84,58536045.16,19998696.6,25311086.97,34431151.93,35761341.77,39821175.38,40229451.57,42543700.44,68032273.11,56905034.6,50698057.75,52301649.45,574704535.3,,
Tajikistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Tanzania,0,0,0,8011.956522,0,0,4042.176631,0,2021.975543,0,0,0,3583.695653,0,17659.80435,,
Thailand,355539720.7,278441116.2,248059821.8,506331683.8,636170736.2,280300184.6,226756384.5,29617707.13,30837447.13,74838198.01,46477417.54,31774553.54,29269707.96,37985732.08,2812400411,,
Timor-Leste,0,0,0,0,0,0,0,65426.08695,132215.2174,202411.9565,69288.04348,140847.8261,71332.60871,213402.9892,894924.7284,,
Togo,0,0,0,0,0,0,0,0,0,0,0,0,59778.60328,0,59778.60328,,
Tokelau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Tonga,531526.4999,522868.4784,638812.0246,678055.5897,1045024.826,677139.7907,749871.7284,1077638.869,1424352.481,1509047.315,1105539.633,1402808.125,248601.8207,106860.6305,11718147.81,,
Trinidad and Tobago,0,5834308.86,1860691.74,22206.47283,5254197.749,4048179.652,10975.41033,0,2385833.087,8704120.892,12168982,0,5803807.909,6164869.948,52258173.72,,
Tunisia,219485.3967,97690.05437,73114.79621,50994.61956,41085.02445,232014.6277,45468.44294,68603.47825,40049.66576,103315.6467,287581.019,335285.2174,45108.48914,76194.79079,1715991.269,,
