Reporter Name,Partner Name,Trade Flow,Product Group,Indicator,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bermuda,Jamaica,Import,  All Products,Import (US$ Thousand),892.349,,418.039,,,,,,,,760.015,1186.435,981.584,1587.387,1265.247,896.283,130.098,1356.437,1886.23,2049.201,2070.545,2258.022,2850.62997,2399.77503,2098.67109,2644.34167,2491.55067
Bermuda,Japan,Import,  All Products,Import (US$ Thousand),25605.508,,19894.22,,,,,,,,15984.955,17958.038,13559.517,12976.537,8361.79,7818.172,5797.922,4504.152,4299.726,4110.863,7552.834,8103.779,11026.09862,10918.76642,9921.85314,8683.78779,10658.32918
Bermuda,Jordan,Import,  All Products,Import (US$ Thousand),,,1.516,,,,,,,,2.199,55.473,0.032,2.14,1.965,42.331,4.155,0.532,0.454,0.812,4.601,26.117,48.7568,20.89544,7.56521,6.42492,27.92522
Bermuda,Kazakhstan,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,,,,,,,,,,,,0.00868,0.11359,0.01926
Bermuda,Kenya,Import,  All Products,Import (US$ Thousand),48.216,,8.355,,,,,,,,0.317,7.466,16.821,5.745,4.75,3.953,3.905,1.998,7.06,1.135,0.645,50.161,32.28124,4.76678,5.34593,13.60447,6.60496
Bermuda,Kiribati,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,,,,,,,,,,0.00016,,,,
Bermuda,"Korea, Dem. Rep.",Import,  All Products,Import (US$ Thousand),239.409,,77.926,,,,,,,,193.38,4011.747,70.549,8.489,16.873,37.381,89.622,,,80.904,421.981,301.319,195.32821,54.14562,,154.43731,
Bermuda,"Korea, Rep.",Import,  All Products,Import (US$ Thousand),2005.144,,484.321,,,,,,,,1740.293,35.983,6363.364,4924.754,9620.673,5362.634,3191.73,5705.026,5532.543,7605.077,10223.512,8211.503,6892.95939,7578.17436,6105.14965,5892.85669,8692.40513
Bermuda,Kuwait,Import,  All Products,Import (US$ Thousand),,,360.423,,,,,,,,,,,3.2,,,,0.216,,,0.05,0.02,1.48495,0.32537,0.2912,1.77187,0.252
Bermuda,Kyrgyz Republic,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,,,0.198,,,0.005,,,,,0.0854,,0.09395,
Bermuda,Lao PDR,Import,  All Products,Import (US$ Thousand),103.251,,,,,,,,,,24.679,1.588,0.157,1.35,0.135,0.619,1.929,8.885,3.832,4.451,0.718,3.058,8.20392,16.00862,61.30555,81.33169,3.38901
Bermuda,Latvia,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,42.99,,10.427,,,0.46,60.756,7.559,52.392,54.807,57.121,54.29428,79.06589,111.22666,240.65496,278.22545
Bermuda,Lebanon,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,0.03,82.286,,,,,,,,,1.04,1.6,0.5795,0.1066,3.66815,7.421
Bermuda,Lesotho,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,0.74,0.308,0.12,0.043,,,,,24.089,31.364,6.847,10.87844,4.47,0.95997,5.9302,3.3683
Bermuda,Liberia,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,,,,,,,,,0.001,,,,,
Bermuda,Libya,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,,,,0.001,,,,,,,,,,
Bermuda,Lithuania,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,0.722,4.853,5.7,0.023,0.059,3.32,1.729,1.159,22.437,11.26839,13.74431,92.23641,39.34346,25.61521
Bermuda,Luxembourg,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,8.217,13.453,1.472,3.628,7.631,1.02,0.36,1.326,3.099,3.085,0.193,1.345,10.54184,6.30423,19.40431,38.44876,62.43624
Bermuda,Macao,Import,  All Products,Import (US$ Thousand),11.71,,7.369,,,,,,,,10.294,20.363,20.211,10.745,12.288,0.686,17.022,0.147,12.724,13.157,15.782,0.485,0.09656,5.14628,0.09542,1.87394,0.60403
Bermuda,Madagascar,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,0.023,0.429,2.569,1.041,1.344,7.342,0.526,1.153,2.94,3.281,9.059,16.696,38.94895,8.79211,5.91053,11.46235,7.61589
Bermuda,Malawi,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,0.041,0.182,,,,,0.864,1.104,0.096,,,0.02,0.14043,0.122,0.23725
Bermuda,Malaysia,Import,  All Products,Import (US$ Thousand),159.832,,38.783,,,,,,,,58.107,720.545,384.905,126.87,245.242,147.454,997.672,1096.634,269.681,366.534,584.195,425.521,628.7801,440.69209,718.78649,620.82282,1076.15094
Bermuda,Maldives,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,,,,,,,,,,,,,0.026,
Bermuda,Mali,Import,  All Products,Import (US$ Thousand),2.286,,,,,,,,,,,,0.153,,,,1.542,,2.471,,,,,0.01399,,,0.81599
