Reporter Name,Partner Name,Trade Flow,Product Group,Indicator,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Kazakhstan,Faeroe Islands,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,7.76,,3.904,452.905,154.09,186.336,63.8,186.756,30.573,58.116,,410.04487,115.50396,27.36802,10.36552,81.79914
Kazakhstan,Falkland Island,Import,  All Products,Import (US$ Thousand),,,,,1.5,2.6,87.7,,,,,,,1.071,,,13.107,0.1,7.405,0.501,,,,,,,
Kazakhstan,Fiji,Import,  All Products,Import (US$ Thousand),,,,,,,10,,,,,,,8.352,0.073,0.227,,,0.185,3.9,1.437,,,0.20509,0.17982,1.87132,3.78515
Kazakhstan,Finland,Import,  All Products,Import (US$ Thousand),30414.898,56083.016,67740.869,69020.591,45199.594,57501,71441.9,73397.6,97094.2,152192.474,197909.792,234968.261,307420.726,506001.678,309730.698,207617.149,247413.099,249851.1,248671.625,262103.041,179443.668,124223.963,131977.1296,146326.8708,170740.6975,126372.0326,145461.6833
Kazakhstan,Fm Sudan,Import,  All Products,Import (US$ Thousand),,,,,,62.4,15.4,,1.1,0.497,3.75,21.822,78.31,123.4,181.193,2.826,7.652,,,,,,,,,,
Kazakhstan,Fr. So. Ant. Tr,Import,  All Products,Import (US$ Thousand),3.899,2.598,163.197,91.998,82.396,2.3,,54.6,0.4,,,,5.143,,,,,,,,,,,0.30987,0.27898,,
Kazakhstan,France,Import,  All Products,Import (US$ Thousand),48601.312,34067.271,61665.973,80108.747,55437.246,75610.2,141554.4,110249.6,196922.7,313691.959,291062.042,459724.84,705477.735,812982.57,460408.057,501706.711,687703.267,584257.3,1032674.302,1085511.778,670832.89,660978.7,535376.4349,657588.6404,700570.2703,954134.844,664798.5401
Kazakhstan,French Polynesia,Import,  All Products,Import (US$ Thousand),,,,,,2.3,89.6,,,,,1.116,4.75,1.369,14.476,5.45,,,1.193,0.344,2.116,,,1.21792,,,
Kazakhstan,Gabon,Import,  All Products,Import (US$ Thousand),13.8,,,,,22.3,6.3,,,,,,11.119,22.882,1.237,,,3.1,8.838,,45.729,,13.78217,44.3187,2.17248,,1307.41284
Kazakhstan,"Gambia, The",Import,  All Products,Import (US$ Thousand),,,,1.498,,1,,11.8,,12.22,1.645,2.529,0.367,1.222,,1.299,22.484,22.6,0.121,1.144,0.101,,1.64354,,,,0.00971
Kazakhstan,Georgia,Import,  All Products,Import (US$ Thousand),2201.593,2948.386,5406.993,3296.995,1415.996,4758.4,4308.8,3701.7,6549,7406.585,7206.241,9767.072,29027.727,17498.706,17326.33,21206.264,30802.709,49635.2,73045.346,70233.767,38971.295,21723.363,25933.50984,33022.25997,43785.11438,37224.34805,59934.80595
