"biogeographic_region","Year","Reporter Name","Dollars"
"Arabia.Sahara",2013,"Australia",1349434.05014901
"C.America",2013,"Australia",2882756.40256086
"Carribbean",2013,"Australia",69181.0026913401
"Eurasian.Palearctic",2013,"Australia",56144367.6448709
"Iberia.N.Africa",2013,"Australia",3466368.18906939
"Middle.East",2013,"Australia",1188696.41593052
"N.Pacific",2013,"Australia",35589060.5657683
"S.Cone.Pacific",2013,"Australia",36286843.6370921
"SE.Asia",2013,"Australia",75316089.8030937
"Subsaharan.Africa",2013,"Australia",6080153.46702809
"North America",2013,"Australia",33473127.8380706
"Amazonia",2014,"Australia",995411.143292913
"Arabia.Sahara",2014,"Australia",587582.684137208
"C.America",2014,"Australia",2572392.04690495
"Carribbean",2014,"Australia",67320.9378036145
"Eurasian.Palearctic",2014,"Australia",54020440.4100632
"Iberia.N.Africa",2014,"Australia",3856322.37321485
"Middle.East",2014,"Australia",1211906.40236052
"N.Pacific",2014,"Australia",33457315.9251074
"S.Cone.Pacific",2014,"Australia",38036436.7047007
"SE.Asia",2014,"Australia",76425477.1279367
"Subsaharan.Africa",2014,"Australia",5725193.08852639
"North America",2014,"Australia",33318465.4719954
"Amazonia",2015,"Australia",887796.200043288
"Arabia.Sahara",2015,"Australia",529325.667314279
"C.America",2015,"Australia",2590153.09517268
"Carribbean",2015,"Australia",87044.8301818049
"Eurasian.Palearctic",2015,"Australia",46528360.7384252
"Iberia.N.Africa",2015,"Australia",2222039.10199755
"Middle.East",2015,"Australia",1139147.08219811
"N.Pacific",2015,"Australia",32824755.139042
"S.Cone.Pacific",2015,"Australia",28790142.1413959
"SE.Asia",2015,"Australia",76964862.5221074
"Subsaharan.Africa",2015,"Australia",2049436.70341198
"North America",2015,"Australia",30959903.1863843
"Amazonia",2016,"Australia",1157409.63321277
"Arabia.Sahara",2016,"Australia",489524.84486731
"C.America",2016,"Australia",2546683.55821998
"Carribbean",2016,"Australia",97238.6241652127
"Eurasian.Palearctic",2016,"Australia",48478698.8147022
"Iberia.N.Africa",2016,"Australia",2563108.33276298
"Middle.East",2016,"Australia",1234450.32192775
"N.Pacific",2016,"Australia",28698163.8046141
"S.Cone.Pacific",2016,"Australia",27059619.201723
"SE.Asia",2016,"Australia",74051337.2700844
"Subsaharan.Africa",2016,"Australia",2008680.79736628
"North America",2016,"Australia",29423615.4918188
"Amazonia",2017,"Australia",1245897.36710165
"Arabia.Sahara",2017,"Australia",518174.496300748
"C.America",2017,"Australia",2965606.90277026
"Carribbean",2017,"Australia",108490.540468048
"Eurasian.Palearctic",2017,"Australia",50836771.4765064
"Iberia.N.Africa",2017,"Australia",2901288.7669356
"Middle.East",2017,"Australia",1202938.34818912
"N.Pacific",2017,"Australia",40165199.5402321
"S.Cone.Pacific",2017,"Australia",28610464.8463614
"SE.Asia",2017,"Australia",80825138.1195556
"Subsaharan.Africa",2017,"Australia",2720506.37416534
"North America",2017,"Australia",31387193.3617824
"Amazonia",2018,"Australia",1240895.85819485
"Arabia.Sahara",2018,"Australia",1308235.69290346
"C.America",2018,"Australia",3165960.15738584
"Carribbean",2018,"Australia",87831.8104599373
"Eurasian.Palearctic",2018,"Australia",53874987.8420748
"Iberia.N.Africa",2018,"Australia",3437266.12978829
"Middle.East",2018,"Australia",1188494.90204028
"N.Pacific",2018,"Australia",32735939.0718197
"S.Cone.Pacific",2018,"Australia",30190776.435859
"SE.Asia",2018,"Australia",87787137.7084953
"Subsaharan.Africa",2018,"Australia",2787761.29209222
"North America",2018,"Australia",31596806.1953857
"Amazonia",2019,"Australia",1026755.95712173
"Arabia.Sahara",2019,"Australia",1046863.26406711
"C.America",2019,"Australia",2840736.58578122
"Carribbean",2019,"Australia",69410.3546952023
"Eurasian.Palearctic",2019,"Australia",49947360.8937802
"Iberia.N.Africa",2019,"Australia",3016085.04187109
"Middle.East",2019,"Australia",1152081.70947138
"N.Pacific",2019,"Australia",28186108.8885657
"S.Cone.Pacific",2019,"Australia",26632369.4793935
"SE.Asia",2019,"Australia",83637053.5677367
"Subsaharan.Africa",2019,"Australia",1625669.84536136
"North America",2019,"Australia",33281605.3880418
"Amazonia",2020,"Australia",1059793.7153409
"Arabia.Sahara",2020,"Australia",962964.01007265
"C.America",2020,"Australia",2690619.09318645
"Carribbean",2020,"Australia",69355.2321276141
"Eurasian.Palearctic",2020,"Australia",47167918.9070864
"Iberia.N.Africa",2020,"Australia",2240836.89341839
"Middle.East",2020,"Australia",1050150.4379833
"N.Pacific",2020,"Australia",22124871.2904178
"S.Cone.Pacific",2020,"Australia",23423876.8704494
"SE.Asia",2020,"Australia",87092231.4536166
"Subsaharan.Africa",2020,"Australia",2152369.04824707
"North America",2020,"Australia",31134328.7603183
"Amazonia",2021,"Australia",1162397.61403762
"Arabia.Sahara",2021,"Australia",1340829.28783719
"C.America",2021,"Australia",3318589.20230266
"Carribbean",2021,"Australia",80740.586587122
"Eurasian.Palearctic",2021,"Australia",54268273.1924035
"Iberia.N.Africa",2021,"Australia",3323891.87385488
"Middle.East",2021,"Australia",1249320.90579946
"N.Pacific",2021,"Australia",28247496.0225796
"S.Cone.Pacific",2021,"Australia",27024216.7719788
"SE.Asia",2021,"Australia",101933210.835611
"Subsaharan.Africa",2021,"Australia",2506658.30969907
"North America",2021,"Australia",31908650.5789685
"Amazonia",1989,"Europe & Central Asia",19566691.2212348
"Arabia.Sahara",1989,"Europe & Central Asia",17341868.9920971
"C.America",1989,"Europe & Central Asia",7248598.82557513
"Carribbean",1989,"Europe & Central Asia",1634433.61001793
"Eurasian.Palearctic",1989,"Europe & Central Asia",788201019.910294
"Iberia.N.Africa",1989,"Europe & Central Asia",44204286.6792206
"Middle.East",1989,"Europe & Central Asia",21254606.3227655
"N.Pacific",1989,"Europe & Central Asia",78906706.5440523
"S.Cone.Pacific",1989,"Europe & Central Asia",24250293.0901451
"SE.Asia",1989,"Europe & Central Asia",20872402.0600974
"Subsaharan.Africa",1989,"Europe & Central Asia",22894443.7699027
"North America",1989,"Europe & Central Asia",101162004.086842
"Amazonia",1990,"Europe & Central Asia",19835276.1938722
"Arabia.Sahara",1990,"Europe & Central Asia",24788793.1886039
"C.America",1990,"Europe & Central Asia",8429046.49509999
"Carribbean",1990,"Europe & Central Asia",1469665.81778418
"Eurasian.Palearctic",1990,"Europe & Central Asia",937064387.27612
"Iberia.N.Africa",1990,"Europe & Central Asia",57518012.519361
"Middle.East",1990,"Europe & Central Asia",20782125.3397129
"N.Pacific",1990,"Europe & Central Asia",88566561.9354105
"S.Cone.Pacific",1990,"Europe & Central Asia",27536345.6235523
"SE.Asia",1990,"Europe & Central Asia",27301204.1913816
"Subsaharan.Africa",1990,"Europe & Central Asia",25443779.1944956
"North America",1990,"Europe & Central Asia",108723489.418064
"Amazonia",1991,"Europe & Central Asia",19118606.4060327
"Arabia.Sahara",1991,"Europe & Central Asia",24797996.4877822
"C.America",1991,"Europe & Central Asia",7687844.20472515
"Carribbean",1991,"Europe & Central Asia",1068725.2907154
"Eurasian.Palearctic",1991,"Europe & Central Asia",925527358.232746
"Iberia.N.Africa",1991,"Europe & Central Asia",62474677.5656207
"Middle.East",1991,"Europe & Central Asia",13798218.0841374
"N.Pacific",1991,"Europe & Central Asia",92057901.5000255
"S.Cone.Pacific",1991,"Europe & Central Asia",28739595.6034649
"SE.Asia",1991,"Europe & Central Asia",34152768.8559657
"Subsaharan.Africa",1991,"Europe & Central Asia",22696721.9902253
"North America",1991,"Europe & Central Asia",108654610.095492
"Amazonia",1992,"Europe & Central Asia",24481538.6599143
"Arabia.Sahara",1992,"Europe & Central Asia",30977784.2377728
"C.America",1992,"Europe & Central Asia",8345134.73445114
"Carribbean",1992,"Europe & Central Asia",1779086.0528864
"Eurasian.Palearctic",1992,"Europe & Central Asia",1291223008.89084
"Iberia.N.Africa",1992,"Europe & Central Asia",80905072.9042678
"Middle.East",1992,"Europe & Central Asia",21606978.3337948
"N.Pacific",1992,"Europe & Central Asia",116514650.276156
"S.Cone.Pacific",1992,"Europe & Central Asia",39383161.00732
"SE.Asia",1992,"Europe & Central Asia",45186263.9886797
"Subsaharan.Africa",1992,"Europe & Central Asia",25721603.5490298
"North America",1992,"Europe & Central Asia",151683919.750234
"Amazonia",1993,"Europe & Central Asia",25900327.7300338
"Arabia.Sahara",1993,"Europe & Central Asia",29163921.8051355
"C.America",1993,"Europe & Central Asia",8083658.77147488
"Carribbean",1993,"Europe & Central Asia",2612388.94628033
"Eurasian.Palearctic",1993,"Europe & Central Asia",1325027664.41925
"Iberia.N.Africa",1993,"Europe & Central Asia",80523672.1416989
"Middle.East",1993,"Europe & Central Asia",28277525.4138525
"N.Pacific",1993,"Europe & Central Asia",135873299.843562
"S.Cone.Pacific",1993,"Europe & Central Asia",52006783.1003102
"SE.Asia",1993,"Europe & Central Asia",59616032.0747243
"Subsaharan.Africa",1993,"Europe & Central Asia",24559630.0500342
"North America",1993,"Europe & Central Asia",192582379.108946
"Amazonia",1994,"Europe & Central Asia",42492768.6675624
"Arabia.Sahara",1994,"Europe & Central Asia",48297179.1999895
"C.America",1994,"Europe & Central Asia",12026895.4462743
"Carribbean",1994,"Europe & Central Asia",4221581.60832671
"Eurasian.Palearctic",1994,"Europe & Central Asia",2093386969.40314
"Iberia.N.Africa",1994,"Europe & Central Asia",161547115.147192
"Middle.East",1994,"Europe & Central Asia",40326643.4371
"N.Pacific",1994,"Europe & Central Asia",171291751.775829
"S.Cone.Pacific",1994,"Europe & Central Asia",77442521.0150758
"SE.Asia",1994,"Europe & Central Asia",92654605.2839466
"Subsaharan.Africa",1994,"Europe & Central Asia",43310785.9518291
"North America",1994,"Europe & Central Asia",278497098.521235
"Amazonia",1995,"Europe & Central Asia",45803584.509114
"Arabia.Sahara",1995,"Europe & Central Asia",49219464.3524215
"C.America",1995,"Europe & Central Asia",14920373.5658026
"Carribbean",1995,"Europe & Central Asia",4664238.65443207
"Eurasian.Palearctic",1995,"Europe & Central Asia",2524329785.00843
"Iberia.N.Africa",1995,"Europe & Central Asia",200670707.067963
"Middle.East",1995,"Europe & Central Asia",45186644.2792051
"N.Pacific",1995,"Europe & Central Asia",192482678.428396
"S.Cone.Pacific",1995,"Europe & Central Asia",91409872.8758899
"SE.Asia",1995,"Europe & Central Asia",106650432.293165
"Subsaharan.Africa",1995,"Europe & Central Asia",41355200.7323262
"North America",1995,"Europe & Central Asia",321407913.540458
"Amazonia",1996,"Europe & Central Asia",45110011.668313
"Arabia.Sahara",1996,"Europe & Central Asia",54415499.8858276
"C.America",1996,"Europe & Central Asia",14638036.132748
"Carribbean",1996,"Europe & Central Asia",5843796.30404811
"Eurasian.Palearctic",1996,"Europe & Central Asia",2639212196.38432
"Iberia.N.Africa",1996,"Europe & Central Asia",213398966.06709
"Middle.East",1996,"Europe & Central Asia",59247707.3273606
"N.Pacific",1996,"Europe & Central Asia",184777848.812873
