"country","sciname"
"Europe","Pterocarya fraxinifolia"
"Europe","Dasiphora fruticosa"
"Europe","Tamarix gallica"
"Europe","Mespilus germanica"
"Europe","Salix gmelinii"
"Europe","Baccharis halimifolia"
"Europe","Aesculus hippocastanum"
"Europe","Alnus incana"
"Europe","Berberis julianae"
"Europe","Euonymus latifolius"
"Europe","Prunus laurocerasus"
"Europe","Pseudotsuga menziesii"
"Europe","Cydonia oblonga"
"Europe","Physocarpus opulifolius"
"Europe","Ligustrum ovalifolium"
"Europe","Catalpa ovata"
"Europe","Tamarix parviflora"
"Europe","Fraxinus pennsylvanica"
"Europe","Staphylea pinnata"
"Europe","Smilax rotundifolia"
"Europe","Quercus rubra"
"Europe","Acer rufinerve"
"Europe","Acer saccharinum"
"Europe","Ribes sanguineum"
"Europe","Castanea sativa"
"Europe","Cornus sericea"
"Europe","Prunus serotina"
"Europe","Pinus sylvestris"
"Europe","Ptelea trifoliata"
"Europe","Rhus typhina"
"Europe","Photinia villosa"
"Europe","Syringa vulgaris"
"Europe","Vitex agnus-castus"
"Europe","Morus alba"
"Europe","Fraxinus americana"
"Europe","Populus deltoides"
"Europe","Ziziphus jujuba"
"Europe","Elaeagnus multiflora"
"Europe","Koelreuteria paniculata"
"Europe","Broussonetia papyrifera"
"Europe","Cercis siliquastrum"
"Europe","Gleditsia triacanthos"
"Europe","Cylindropuntia imbricata"
"Europe","Laurus nobilis"
"Europe","Populus balsamifera"
"Europe","Pyracantha coccinea"
"Europe","Elaeagnus commutata"
"Europe","Pinus nigra"
"Europe","Pinus strobus"
"Europe","Abies alba"
"Europe","Salix alba"
"Europe","Caragana arborescens"
"Europe","Sorbus aria"
"Europe","Pyrus communis"
"Europe","Pinus contorta"
"Europe","Malus domestica"
"Europe","Picea glauca"
"Europe","Abies grandis"
"Europe","Populus laurifolia"
"Europe","Chamaecyparis lawsoniana"
"Europe","Prunus mahaleb"
"Europe","Pinus mugo"
"Europe","Populus nigra"
"Europe","Sambucus nigra"
"Europe","Abies nordmanniana"
"Europe","Salix purpurea"
"Europe","Sambucus racemosa"
"Europe","Picea sitchensis"
"Europe","Pinus uncinata"
"Europe","Salix viminalis"
"Europe","Parkinsonia aculeata"
"Europe","Fraxinus angustifolia"
"Europe","Tetraclinis articulata"
"Europe","Celtis australis"
"Europe","Phoenix canariensis"
"Europe","Nicotiana glauca"
"Europe","Gossypium hirsutum"
"Europe","Ulmus minor"
"Europe","Quercus pubescens"
"Europe","Juglans regia"
"Europe","Quercus rotundifolia"
"Europe","Ceratonia siliqua"
"Europe","Austrocylindropuntia subulata"
"Europe","Myoporum tenuifolium"
"Europe","Bauhinia acuminata"
"Europe","Alnus alnobetula"
"Europe","Pyracantha angustifolia"
"Europe","Gossypium arboreum"
"Europe","Cedrus atlantica"
"Europe","Crataegus azarolus"
"Europe","Melia azedarach"
"Europe","Acacia baileyana"
"Europe","Gossypium barbadense"
"Europe","Euphorbia candelabrum"
"Europe","Castanea crenata"
"Europe","Pyracantha crenulata"
"Europe","Casuarina cunninghamiana"
"Europe","Acacia cyclops"
"Europe","Phoenix dactylifera"
"Europe","Acacia dealbata"
"Europe","Acacia decurrens"
"Europe","Phytolacca dioica"
"Europe","Olea europaea"
"Europe","Washingtonia filifera"
"Europe","Trachycarpus fortunei"
"Europe","Sequoiadendron giganteum"
"Europe","Eucalyptus gomphocephala"
"Europe","Psidium guajava"
"Europe","Eucalyptus gunnii"
"Europe","Myoporum insulare"
"Europe","Styphnolobium japonicum"
"Europe","Diospyros kaki"
"Europe","Myoporum laetum"
"Europe","Ulmus laevis"
"Europe","Acacia longifolia"
"Europe","Paraserianthes lophantha"
"Europe","Ligustrum lucidum"
"Europe","Acacia mearnsii"
"Europe","Acacia melanoxylon"
"Europe","Jacaranda mimosifolia"
"Europe","Schinus molle"
"Europe","Opuntia monacantha"
"Europe","Juglans nigra"
"Europe","Picea omorika"
"Europe","Cestrum parqui"
"Europe","Salix pentandra"
"Europe","Acer platanoides"
"Europe","Acacia pycnantha"
"Europe","Pinus radiata"
"Europe","Cereus repandus"
"Europe","Acacia retinodes"
"Europe","Eucalyptus robusta"
"Europe","Grevillea robusta"
"Europe","Washingtonia robusta"
"Europe","Photinia serratifolia"
"Europe","Eucalyptus sideroxylon"
"Europe","Pterocarya stenoptera"
"Europe","Opuntia stricta"
"Europe","Schinus terebinthifolia"
"Europe","Paulownia tomentosa"
"Europe","Wigandia urens"
"Europe","Allocasuarina verticillata"
"Europe","Prunus avium"
"Europe","Abies fraseri"
"Europe","Thuja occidentalis"
"Europe","Tilia platyphyllos"
"Europe","Thuja plicata"
"Europe","Acer pseudoplatanus"
"Europe","Abies sibirica"
"Europe","Larix sibirica"
"Europe","Populus suaveolens"
"Europe","Acer tataricum"
"Europe","Amelanchier alnifolia"
"Europe","Abies balsamea"
"Europe","Lonicera involucrata"
"Europe","Amelanchier laevis"
"Europe","Pinus sibirica"
"Europe","Prunus virginiana"
"Europe","Acer campestre"
"Europe","Crataegus crus-galli"
"Europe","Pinus halepensis"
"Europe","Platanus orientalis"
"Europe","Prunus persica"
"Europe","Abies pinsapo"
"Europe","Quercus robur"
"Europe","Tilia tomentosa"
"Europe","Sorbus torminalis"
"Europe","Salix triandra"
"Europe","Arbutus andrachne"
"Europe","Cordyline australis"
"Europe","Pinus banksiana"
"Europe","Quercus canariensis"
"Europe","Acer cappadocicum"
"Europe","Tsuga heterophylla"
"Europe","Robinia hispida"
"Europe","Euonymus japonicus"
"Europe","Larix kaempferi"
"Europe","Solanum mauritianum"
"Europe","Platanus occidentalis"
"Europe","Styrax officinalis"
"Europe","Platycladus orientalis"
"Europe","Quercus palustris"
"Europe","Maclura pomifera"
"Europe","Hakea salicifolia"
"Europe","Gaultheria shallon"
"Europe","Liquidambar styraciflua"
"Europe","Salix acutifolia"
"Europe","Genista aetnensis"
"Europe","Rhamnus alaternus"
"Europe","Nothofagus alpina"
"Europe","Laburnum alpinum"
"Europe","Buddleja alternifolia"
"Europe","Luma apiculata"
"Europe","Araucaria araucana"
"Europe","Erica arborea"
"Europe","Lupinus arboreus"
"Europe","Aronia arbutifolia"
"Europe","Olearia avicenniifolia"
"Europe","Spiraea canescens"
"Europe","Abies cephalonica"
"Europe","Oemleria cerasiformis"
"Europe","Aralia chinensis"
"Europe","Cotinus coggygria"
"Europe","Rhus copallinum"
"Europe","Rhus coriaria"
"Europe","Vaccinium corymbosum"
"Europe","Pittosporum crassifolium"
"Europe","Salix daphnoides"
"Europe","Photinia davidiana"
"Europe","Larix decidua"
"Europe","Holodiscus discolor"
"Europe","Aralia elata"
"Europe","Salix eleagnos"
"Europe","Salix eriocephala"
"Europe","Cotoneaster frigidus"
"Europe","Viburnum glomeratum"
"Europe","Malus hupehensis"
"Europe","Sorbus hybrida"
"Europe","Quercus ilex"
"Europe","Prunus incisa"
"Europe","Aesculus indica"
"Europe","Salix interior"
"Europe","Sorbus intermedia"
"Europe","Cryptomeria japonica"
"Europe","Leptospermum lanigerum"
"Europe","Kalmia latifolia"
"Europe","Sorbus latifolia"
"Europe","Griselinia littoralis"
"Europe","Prunus lusitanica"
"Europe","Cornus mas"
"Europe","Corylus maxima"
"Europe","Aronia melanocarpa"
"Europe","Nothofagus obliqua"
"Europe","Symphoricarpos orbiculatus"
"Europe","Crataegus orientalis"
"Europe","Prunus pensylvanica"
"Europe","Myrica pensylvanica"
"Europe","Pinus pinaster"
"Europe","Chamaecyparis pisifera"
"Europe","Kalmia polifolia"
"Europe","Hoheria populnea"
"Europe","Abies procera"
"Europe","Gaultheria procumbens"
"Europe","Eucalyptus pulchella"
"Europe","Brachyglottis repanda"
"Europe","Coprosma repens"
"Europe","Viburnum rhytidophyllum"
"Europe","Leptospermum scoparium"
"Europe","Sequoia sempervirens"
"Europe","Pittosporum tenuifolium"
"Europe","Viburnum tinus"
"Europe","Spiraea tomentosa"
"Europe","Eucalyptus urnigera"
"Europe","Eucalyptus viminalis"
"Europe","Pinus wallichiana"
"Europe","Prunus serrulata"
"Europe","Salix udensis"
"Europe","Leucothoe fontanesiana"
"Europe","Alnus rubra"
"Europe","Sorbus mougeotii"
"Europe","Pinus peuce"
"Europe","Celtis occidentalis"
"Europe","Ulmus glabra"
"Europe","Viburnum opulus"
"Europe","Prunus padus"
"Europe","Fagus sylvatica"
"Europe","Malus sylvestris"
"Europe","Crataegus laevigata"
"Europe","Amomyrtus luma"
"Europe","Salix alaxensis"
"Europe","Salix caprea"
"Europe","Tamarix africana"
"Europe","Yucca aloifolia"
"Europe","Solanum giganteum"
"Europe","Ulmus pumila"
"Europe","Elaeagnus pungens"
"Europe","Pinus rigida"
"Europe","Ligustrum sinense"
"Europe","Sesbania punicea"
"Europe","Dracaena draco"
"Europe","Ficus microcarpa"
"Europe","Solanum torvum"
"Europe","Ficus watkinsiana"
"Europe","Sorbus aucuparia"
"Europe","Taxus baccata"
"Europe","Euonymus europaeus"
"Europe","Arbutus unedo"
"Europe","Buxus sempervirens"
"Europe","Juglans cinerea"
"Europe","Malus toringo"
"Europe","Malus baccata"
"Europe","Spiraea betulifolia"
"Europe","Carpinus betulus"
"Europe","Abies concolor"
"Europe","Crataegus douglasii"
"Europe","Crataegus monogyna"
"Europe","Robinia neomexicana"
"Europe","Prunus spinosa"
"Europe","Pinus cembra"
"Europe","Juniperus chinensis"
"Europe","Crataegus sanguinea"
"Europe","Catalpa bignonioides"
"Europe","Tsuga canadensis"
"Europe","Carya cordiformis"
"Europe","Tetradium daniellii"
"Europe","Aesculus flava"
"Europe","Carya laciniosa"
"Europe","Picea orientalis"
"Europe","Carya ovata"
"Europe","Acer saccharum"
"Europe","Myrica faya"
"Europe","Fraxinus ornus"
"Europe","Betula pendula"
"Europe","Pittosporum undulatum"
"Europe","Acacia verticillata"
"Europe","Larix gmelinii"
"Europe","Pyrus ussuriensis"
"Europe","Juglans mandshurica"
"Europe","Crataegus ambigua"
"Europe","Rhamnus cathartica"
"Europe","Crataegus dahurica"
"Europe","Rhamnus davurica"
"Europe","Salix euxina"
"Europe","Aesculus glabra"
"Europe","Euonymus maackii"
"Europe","Prunus maackii"
"Europe","Malus mandshurica"
"Europe","Acer mandshuricum"
"Europe","Crataegus maximowiczii"
"Europe","Crataegus nigra"
"Europe","Crataegus pinnatifida"
"Europe","Malus prunifolia"
"Europe","Prunus pumila"
"Europe","Picea pungens"
"Europe","Berberis repens"
"Europe","Crataegus rhipidophylla"
"Europe","Acer spicatum"
"Europe","Acer tegmentosum"
"Europe","Populus tristis"
"Europe","Crataegus wattiana"
"Europe","Crataegus chlorocarpa"
"Europe","Phellodendron amurense"
"Europe","Amelanchier canadensis"
"Europe","Corylus colurna"
"Europe","Fraxinus mandshurica"
"Europe","Picea obovata"
"Europe","Pinus ponderosa"
"Europe","Cornus kousa"
"Europe","Picea engelmannii"
"Europe","Sorbus graeca"
"Europe","Abies lasiocarpa"
"Europe","Tsuga mertensiana"
"Europe","Populus simonii"
"Europe","Zelkova carpinifolia"
"Europe","Albizia julibrissin"
"Europe","Tamarix ramosissima"
"Europe","Morus rubra"
"Europe","Pyrus nivalis"
"Europe","Acer monspessulanum"
"Europe","Prunus sibirica"
"Europe","Salix atrocinerea"
"Europe","Sorbus domestica"
"Europe","Taxodium distichum"
"Europe","Salix myrsinifolia"
"Europe","Betula nana"
"Europe","Cornus canadensis"
