region_id,code,name,island,OBJIDsic,tdwg4,tdwg4_name,tdwg3,tdwg2,tdwg1,tdwg1_name,country_ISO,country
713,SYC.PLA,"Platte, Seychelles",1,1245,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
714,SYC.POI,"Poivre, Seychelles",1,1246,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
715,SYC.PRA,"Praslin, Seychelles",1,1247,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
716,SYC.PRO,"Providence, Seychelles",1,1248,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
717,SYC.PSO,"Petit Soeur, Seychelles",1,1249,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
718,SYC.REC,"Recifs, Seychelles",1,1250,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
719,SYC.REM,"Remire, Seychelles",1,1251,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
720,SYC.SFR,"St Francois, Seychelles",1,1252,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
721,SYC.SIL,"Silhouette, Seychelles",1,1253,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
722,SYC.SJO,"St Joseph, Seychelles",1,1254,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
723,SYC.STP,"St Pierre, Seychelles",1,1255,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
724,SYC.THE,"Therese, Seychelles",1,1256,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
725,TCD,Chad,0,719,CHA-OO,Chad,CHA,24,2,Africa,TCD,Chad
726,TGO,Togo,0,1258,TOG-OO,Togo,TOG,22,2,Africa,TGO,Togo
727,THA,Thailand,0,1259,THA-OO,Thailand,THA,41,4,Asia-Tropical,THA,Thailand
728,TON,Tonga,1,1260,TON-OO,Tonga,TON,60,6,Pacific,TON,Tonga
729,TUN,Tunisia,0,1261,TUN-OO,Tunisia,TUN,20,2,Africa,TUN,Tunisia
731,TWN,Taiwan,1,1263,TAI-OO,Taiwan,TAI,38,3,Asia-Temperate,TWN,Taiwan (Province of China)
732,TZA,United Republic of Tanzania,0,1264,TAN-OO,Tanzania,TAN,25,2,Africa,TZA,"Tanzania, United Republic of"
733,UGA,Uganda,0,1265,UGA-OO,Uganda,UGA,25,2,Africa,UGA,Uganda
734,UKR,Ukraine,0,1266,UKR-UK,Ukraine,UKR,14,1,Europe,UKR,Ukraine
735,URY,Uruguay,0,1267,URU-OO,Uruguay,URU,85,8,Southern America,URY,Uruguay
736,USA.AK,Alaska,0,1268,ASK-OO,Alaska,ASK,70,7,Northern America,USA,United States of America (the)
737,USA.AL,Alabama,0,1269,ALA-OO,Alabama,ALA,78,7,Northern America,USA,United States of America (the)
738,USA.AR,Arkansas,0,1270,ARK-OO,Arkansas,ARK,78,7,Northern America,USA,United States of America (the)
739,USA.AZ,Arizona,0,1271,ARI-OO,Arizona,ARI,76,7,Northern America,USA,United States of America (the)
740,USA.CA,California,0,1272,CAL-OO,California,CAL,76,7,Northern America,USA,United States of America (the)
741,USA.CO,Colorado,0,1273,COL-OO,Colorado,COL,73,7,Northern America,USA,United States of America (the)
742,USA.CT,Connecticut,0,1274,CNT-OO,Connecticut,CNT,75,7,Northern America,USA,United States of America (the)
743,USA.DC,Washington DC,0,1275,WDC-OO,District of Columbia,WDC,78,7,Northern America,USA,United States of America (the)
744,USA.DE,Delaware,0,1276,DEL-OO,Delaware,DEL,78,7,Northern America,USA,United States of America (the)
745,USA.FL,Florida,0,1277,FLA-OO,Florida,FLA,78,7,Northern America,USA,United States of America (the)
746,USA.GA,Georgia,0,1278,GEO-OO,Georgia,GEO,78,7,Northern America,USA,United States of America (the)
747,USA.HI.FFS,French Frigate Shoals,1,151,HAW-HI,Hawaiian Is.,HAW,63,6,Pacific,USA,United States of America (the)
748,USA.HI.HAW,Hawai'i (Big Island),1,171,HAW-HI,Hawaiian Is.,HAW,63,6,Pacific,USA,United States of America (the)
749,USA.HI.KAH,Kaho'olawe,1,214,HAW-HI,Hawaiian Is.,HAW,63,6,Pacific,USA,United States of America (the)
750,USA.HI.KAR,Ka'ula Rock,1,213,HAW-HI,Hawaiian Is.,HAW,63,6,Pacific,USA,United States of America (the)
751,USA.HI.KAU,Kaua'i,1,222,HAW-HI,Hawaiian Is.,HAW,63,6,Pacific,USA,United States of America (the)
752,USA.HI.KUR,Kure,1,232,HAW-HI,Hawaiian Is.,HAW,63,6,Pacific,USA,United States of America (the)
753,USA.HI.LAE,Läna'i,1,247,HAW-HI,Hawaiian Is.,HAW,63,6,Pacific,USA,United States of America (the)
754,USA.HI.LAY,Laysan,1,249,HAW-HI,Hawaiian Is.,HAW,63,6,Pacific,USA,United States of America (the)
755,USA.HI.LEH,Lehua,1,251,HAW-HI,Hawaiian Is.,HAW,63,6,Pacific,USA,United States of America (the)
756,USA.HI.LIS,Lisianski,1,258,HAW-HI,Hawaiian Is.,HAW,63,6,Pacific,USA,United States of America (the)
757,USA.HI.MAU,Maui,1,277,HAW-HI,Hawaiian Is.,HAW,63,6,Pacific,USA,United States of America (the)
758,USA.HI.MID,Midway,1,286,HAW-HI,Hawaiian Is.,HAW,63,6,Pacific,USA,United States of America (the)
759,USA.HI.MOL,Moloka'i,1,288,HAW-HI,Hawaiian Is.,HAW,63,6,Pacific,USA,United States of America (the)
760,USA.HI.NIH,Nihoa,1,309,HAW-HI,Hawaiian Is.,HAW,63,6,Pacific,USA,United States of America (the)
761,USA.HI.NII,Ni'ihau,1,307,HAW-HI,Hawaiian Is.,HAW,63,6,Pacific,USA,United States of America (the)
762,USA.HI.OAH,O'ahu,1,321,HAW-HI,Hawaiian Is.,HAW,63,6,Pacific,USA,United States of America (the)
763,USA.HI.PEH,Pearl & Hermes,1,356,HAW-HI,Hawaiian Is.,HAW,63,6,Pacific,USA,United States of America (the)
764,USA.IA,Iowa,0,1280,IOW-OO,Iowa,IOW,74,7,Northern America,USA,United States of America (the)
765,USA.ID,Idaho,0,1281,IDA-OO,Idaho,IDA,73,7,Northern America,USA,United States of America (the)
766,USA.IL,Illinois,0,1282,ILL-OO,Illinois,ILL,74,7,Northern America,USA,United States of America (the)
767,USA.IN,Indiana,0,1283,INI-OO,Indiana,INI,75,7,Northern America,USA,United States of America (the)
768,USA.JI,Johnston Island,1,1284,HAW-JI,Johnston I.,HAW,63,6,Pacific,UMI,United States Minor Outlying Islands (the)
769,USA.KS,Kansas,0,1285,KAN-OO,Kansas,KAN,74,7,Northern America,USA,United States of America (the)
