host,host_name,host_genus,host_authority,AtlanticCanada,CentralCanada,Florida,InlandWestUS,MidwestUS,NorthCentralUS,NortheastUS,NorthernNorthAmerica,NorthwestUS,SoutheastUS,SouthwestUS,WesternCanada
Atriplex confertifolia (Torr. & Frém.) S. Watson,Atriplex confertifolia,Atriplex,(Torr. & Frém.) S. Watson,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
Atriplex falcata (M.E. Jones) Standl.,Atriplex falcata,Atriplex,(M.E. Jones) Standl.,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
Atriplex gardneri (Moq.) D. Dietr.,Atriplex gardneri,Atriplex,(Moq.) D. Dietr.,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Atriplex lentiformis (Torr.) S. Watson,Atriplex lentiformis,Atriplex,(Torr.) S. Watson,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Atriplex polycarpa (Torr.) S. Watson,Atriplex polycarpa,Atriplex,(Torr.) S. Watson,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Avicennia germinans (L.) L.,Avicennia germinans,Avicennia,(L.) L.,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Baccharis angustifolia Michx.,Baccharis angustifolia,Baccharis,Michx.,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Baccharis halimifolia L.,Baccharis halimifolia,Baccharis,L.,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Baccharis pilularis DC.,Baccharis pilularis,Baccharis,DC.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
Baccharis salicifolia (Ruiz & Pav.) Pers.,Baccharis salicifolia,Baccharis,(Ruiz & Pav.) Pers.,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Baccharis sarothroides A. Gray,Baccharis sarothroides,Baccharis,A. Gray,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Berberis fendleri A. Gray,Berberis fendleri,Berberis,A. Gray,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Betula alleghaniensis Britton,Betula alleghaniensis,Betula,Britton,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
